id,text,cluster,category
424,We've tried to like this place but after 10+ times I think we're done with them.,6,Overall Satisfaction
425,What a mistake that was!,1,Overall Satisfaction
426,No complaints!,1,Overall Satisfaction
427,This is some seriously good pizza and I'm an expert/connisseur on the topic.,8,Food Quality
428,Waiter was a jerk.,7,Service Experience
429,"Strike 2, who wants to be rushed.",1,Service Experience
430,These are the nicest restaurant owners I've ever come across.,5,Service Experience
431,I never come again.,4,Overall Satisfaction
432,We loved the biscuits!!!,0,Food Quality
433,Service is quick and friendly.,9,Service Experience
434,Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,3,Service Experience
435,So absolutley fantastic.,1,Overall Satisfaction
436,It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0,Food Quality
437,definitely will come back here again.,4,Overall Satisfaction
438,I like Steiners because it's dark and it feels like a bar.,2,Ambience and Atmosphere
439,Wow very spicy but delicious.,8,Food Quality
440,"If you're not familiar, check it out.",6,Overall Satisfaction
441,I'll take my business dinner dollars elsewhere.,8,Service Experience
442,I'd love to go back.,4,Overall Satisfaction
443,"Anyway, this FS restaurant has a wonderful breakfast/lunch.",5,Food Quality
444,Nothing special.,2,Overall Satisfaction
445,Each day of the week they have a different deal and it's all so delicious!,8,Value for Money
446,"Not to mention the combination of pears, almonds and bacon is a big winner!",8,Food Quality
447,Will not be back.,4,Overall Satisfaction
448,Sauce was tasteless.,0,Food Quality
449,"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",8,Food Quality
450,My ribeye steak was cooked perfectly and had great mesquite flavor.,0,Food Quality
451,I don't think we'll be going back anytime soon.,4,Overall Satisfaction
452,Food was so gooodd.,0,Food Quality
453,I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,8,Food Quality
454,I was so insulted.,1,Service Experience
455,The last 3 times I had lunch here has been bad.,3,Food Quality
456,The chicken wings contained the driest chicken meat I have ever eaten.,0,Food Quality
457,"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",5,Food Quality
458,Nargile - I think you are great.,1,Service Experience
459,Best tater tots in the southwest.,8,Food Quality
460,We loved the place.,6,Ambience and Atmosphere
461,Definitely not worth the $3 I paid.,1,Value for Money
462,The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,0,Food Quality
463,Im in AZ all the time and now have my new spot.,6,Overall Satisfaction
464,The manager was the worst.,7,Service Experience
465,The inside is really quite nice and very clean.,2,Ambience and Atmosphere
466,The food was outstanding and the prices were very reasonable.,0,Food Quality
467,I don't think I'll be running back to Carly's anytime soon for food.,5,Overall Satisfaction
468,"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",3,Service Experience
469,"Love the margaritas, too!",5,Overall Satisfaction
470,This was my first and only Vegas buffet and it did not disappoint.,5,Overall Satisfaction
471,"Very good, though!",1,Overall Satisfaction
472,The one down note is the ventilation could use some upgrading.,2,Ambience and Atmosphere
473,Great pork sandwich.,8,Food Quality
474,Don't waste your time here.,6,Overall Satisfaction
475,"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",6,Overall Satisfaction
476,"Third, the cheese on my friend's burger was cold.",0,Food Quality
477,We enjoy their pizza and brunch.,5,Overall Satisfaction
478,The steaks are all well trimmed and also perfectly cooked.,8,Food Quality
479,We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,7,Service Experience
480,I LOVED it!,1,Overall Satisfaction
481,We asked for the bill to leave without eating and they didn't bring that either.,3,Service Experience
482,"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",6,Ambience and Atmosphere
483,Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,0,Food Quality
484,The selection of food was not the best.,0,Food Quality
485,Delicious and I will absolutely be back!,4,Overall Satisfaction
486,"This isn't a small family restaurant, this is a fine dining establishment.",5,Ambience and Atmosphere
487,They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,0,Food Quality
488,I dont think I will be back for a very long time.,4,Overall Satisfaction
489,"It was attached to a gas station, and that is rarely a good sign.",3,Ambience and Atmosphere
490,How awesome is that.,1,Overall Satisfaction
491,I will be back many times soon.,4,Overall Satisfaction
492,The menu had so much good stuff on it i could not decide!,5,Value for Money
493,"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",7,Service Experience
494,CONCLUSION: Very filling meals.,8,Food Quality
495,Their daily specials are always a hit with my group.,5,Value for Money
496,And then tragedy struck.,1,Overall Satisfaction
497,The pancake was also really good and pretty large at that.,0,Food Quality
498,"This was my first crawfish experience, and it was delicious!",8,Food Quality
499,Their monster chicken fried steak and eggs is my all time favorite.,8,Food Quality
500,Waitress was sweet and funny.,7,Service Experience
501,"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",0,Food Quality
502,"I'd rather eat airline food, seriously.",8,Food Quality
503,Cant say enough good things about this place.,6,Overall Satisfaction
504,The ambiance was incredible.,1,Ambience and Atmosphere
505,The waitress and manager are so friendly.,7,Service Experience
506,I would not recommend this place.,6,Overall Satisfaction
507,Overall I wasn't very impressed with Noca.,1,Overall Satisfaction
508,My gyro was basically lettuce only.,0,Food Quality
509,Terrible service!,9,Service Experience
510,Thoroughly disappointed!,1,Overall Satisfaction
511,"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",8,Food Quality
512,"Give it a try, you will be happy you did.",1,Overall Satisfaction
513,By far the BEST cheesecurds we have ever had!,8,Food Quality
514,Reasonably priced also!,2,Value for Money
515,Everything was perfect the night we were in.,1,Overall Satisfaction
516,The food is very good for your typical bar food.,5,Food Quality
517,it was a drive to get there.,3,Ambience and Atmosphere
518,"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",5,Ambience and Atmosphere
519,"Anyway, I do not think i will go back there.",4,Overall Satisfaction
520,"Point your finger at any item on the menu, order it and you won't be disappointed.",1,Overall Satisfaction
521,"Oh this is such a thing of beauty, this restaurant.",5,Ambience and Atmosphere
522,If you haven't gone here GO NOW!,6,Overall Satisfaction
523,"A greasy, unhealthy meal.",8,Food Quality
524,first time there and might just be the last.,6,Overall Satisfaction
525,Those burgers were amazing.,0,Food Quality
526,"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",3,Service Experience
527,And it was way to expensive.,1,Value for Money
528,"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",8,Food Quality
529,This was my first time and I can't wait until the next.,1,Overall Satisfaction
530,The bartender was also nice.,7,Service Experience
531,Everything was good and tasty!,0,Food Quality
532,This place is two thumbs up....way up.,6,Overall Satisfaction
533,"The best place in Vegas for breakfast (just check out a Sat, or Sun.",5,Ambience and Atmosphere
534,"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",8,Food Quality
535,Terrible management.,7,Service Experience
536,An excellent new restaurant by an experienced Frenchman.,5,Ambience and Atmosphere
537,If there were zero stars I would give it zero stars.,1,Overall Satisfaction
538,"Great steak, great sides, great wine, amazing desserts.",5,Food Quality
539,Worst martini ever!,1,Food Quality
540,The steak and the shrimp are in my opinion the best entrees at GC.,8,Food Quality
541,I had the opportunity today to sample your amazing pizzas!,5,Food Quality
542,We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,3,Service Experience
543,The yellowtail carpaccio was melt in your mouth fresh.,0,Food Quality
544,I won't try going back there even if it's empty.,6,Overall Satisfaction
545,"No, I'm going to eat the potato that I found some strangers hair in it.",8,Food Quality
546,Just spicy enough.. Perfect actually.,8,Food Quality
547,Last night was my second time dining here and I was so happy I decided to go back!,5,Overall Satisfaction
548,"not even a ""hello, we will be right with you.""",7,Service Experience
549,The desserts were a bit strange.,0,Food Quality
550,My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,5,Overall Satisfaction
551,"I really do recommend this place, you can go wrong with this donut place!",6,Overall Satisfaction
552,Nice ambiance.,1,Ambience and Atmosphere
553,I would recommend saving room for this!,2,Food Quality
554,I guess maybe we went on an off night but it was disgraceful.,1,Overall Satisfaction
555,"However, my recent experience at this particular location was not so good.",6,Overall Satisfaction
556,"I know this is not like the other restaurants at all, something is very off here!",5,Overall Satisfaction
557,AVOID THIS ESTABLISHMENT!,6,Overall Satisfaction
558,I think this restaurant suffers from not trying hard enough.,5,Overall Satisfaction
559,All of the tapas dishes were delicious!,0,Food Quality
560,I *heart* this place.,6,Overall Satisfaction
561,My salad had a bland vinegrette on the baby greens and hearts of Palm.,0,Food Quality
562,After two I felt disgusting.,1,Overall Satisfaction
563,A good time!,1,Overall Satisfaction
564,I believe that this place is a great stop for those with a huge belly and hankering for sushi.,8,Value for Money
565,Generous portions and great taste.,8,Value for Money
566,I will never go back to this place and will never ever recommended this place to anyone!,6,Overall Satisfaction
567,"The servers went back and forth several times, not even so much as an ""Are you being helped?""",9,Service Experience
568,Food was delicious!,0,Food Quality
569,AN HOUR... seriously?,3,Service Experience
570,I consider this theft.,1,Overall Satisfaction
571,Eew... This location needs a complete overhaul.,6,Overall Satisfaction
572,We recently witnessed her poor quality of management towards other guests as well.,7,Service Experience
573,Waited and waited and waited.,3,Service Experience
574,"He also came back to check on us regularly, excellent service.",9,Service Experience
575,Our server was super nice and checked on us many times.,9,Service Experience
576,"The pizza tasted old, super chewy in not a good way.",0,Food Quality
577,I swung in to give them a try but was deeply disappointed.,1,Overall Satisfaction
578,Service was good and the company was better!,9,Service Experience
579,The staff are also very friendly and efficient.,7,Service Experience
580,"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",9,Service Experience
581,Boy was that sucker dry!!.,1,Food Quality
582,Over rated.,1,Overall Satisfaction
583,"If you look for authentic Thai food, go else where.",8,Food Quality
584,Their steaks are 100% recommended!,8,Food Quality
585,After I pulled up my car I waited for another 15 minutes before being acknowledged.,3,Service Experience
586,Great food and great service in a clean and friendly setting.,5,Overall Satisfaction
587,"All in all, I can assure you I'll be back.",4,Overall Satisfaction
588,I hate those things as much as cheap quality black olives.,8,Food Quality
589,"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",0,Food Quality
590,The kids play area is NASTY!,6,Ambience and Atmosphere
591,Great place fo take out or eat in.,6,Overall Satisfaction
592,The waitress was friendly and happy to accomodate for vegan/veggie options.,7,Service Experience
593,OMG I felt like I had never eaten Thai food until this dish.,8,Food Quality
594,"It was extremely ""crumby"" and pretty tasteless.",0,Food Quality
595,It was a pale color instead of nice and char and has NO flavor.,0,Food Quality
596,The croutons also taste homemade which is an extra plus.,8,Food Quality
597,I got home to see the driest damn wings ever!,1,Food Quality
598,It'll be a regular stop on my trips to Phoenix!,6,Overall Satisfaction
599,I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.,5,Food Quality
600,Not good for the money.,1,Value for Money
601,I miss it and wish they had one in Philadelphia!,1,Overall Satisfaction
602,"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",3,Service Experience
603,They also have the best cheese crisp in town.,8,Food Quality
604,"Good value, great food, great service.",5,Overall Satisfaction
605,Couldn't ask for a more satisfying meal.,8,Overall Satisfaction
606,The food is good.,8,Food Quality
607,It was awesome.,1,Overall Satisfaction
608,I just wanted to leave.,1,Overall Satisfaction
609,We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,6,Overall Satisfaction
610,I will not be eating there again.,8,Overall Satisfaction
611,!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,8,Value for Money
612,I checked out this place a couple years ago and was not impressed.,6,Overall Satisfaction
613,"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",0,Food Quality
614,"Sorry, I will not be getting food from here anytime soon :(",8,Overall Satisfaction
615,An absolute must visit!,6,Overall Satisfaction
616,The cow tongue and cheek tacos are amazing.,8,Food Quality
617,My friend did not like his Bloody Mary.,0,Food Quality
618,"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",1,Overall Satisfaction
619,They really want to make your experience a good one.,6,Service Experience
620,I will not return.,4,Overall Satisfaction
621,I had the chicken Pho and it tasted very bland.,0,Food Quality
622,Very disappointing!!!,1,Overall Satisfaction
623,The grilled chicken was so tender and yellow from the saffron seasoning.,0,Food Quality
624,"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",3,Service Experience
625,Pretty awesome place.,6,Overall Satisfaction
626,Ambience is perfect.,2,Ambience and Atmosphere
627,Best of luck to the rude and non-customer service focused new management.,7,Service Experience
628,Any grandmother can make a roasted chicken better than this one.,8,Food Quality
629,I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,5,Service Experience
630,"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",7,Service Experience
631,Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,5,Overall Satisfaction
632,The roast beef sandwich tasted really good!,0,Food Quality
633,"Same evening, him and I are both drastically sick.",1,Overall Satisfaction
634,High-quality chicken on the chicken Caesar salad.,8,Food Quality
635,Ordered burger rare came in we'll done.,8,Food Quality
636,We were promptly greeted and seated.,3,Service Experience
637,Tried to go here for lunch and it was a madhouse.,3,Service Experience
638,"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",8,Food Quality
639,"After waiting an hour and being seated, I was not in the greatest of moods.",3,Service Experience
640,This is a good joint.,2,Overall Satisfaction
641,The Macarons here are insanely good.,8,Food Quality
642,I'm not eating here!,8,Overall Satisfaction
643,"Our waiter was very attentive, friendly, and informative.",7,Service Experience
644,Maybe if they weren't cold they would have been somewhat edible.,0,Food Quality
645,This place has a lot of promise but fails to deliver.,6,Overall Satisfaction
646,Very bad Experience!,1,Overall Satisfaction
647,What a mistake.,1,Overall Satisfaction
648,Food was average at best.,0,Food Quality
649,Great food.,5,Food Quality
650,We won't be going back anytime soon!,4,Overall Satisfaction
651,Very Very Disappointed ordered the $35 Big Bay Plater.,1,Value for Money
652,Great place to relax and have an awesome burger and beer.,5,Food Quality
653,It is PERFECT for a sit-down family meal or get together with a few friends.,5,Ambience and Atmosphere
654,"Not much flavor to them, and very poorly constructed.",0,Food Quality
655,The patio seating was very comfortable.,2,Ambience and Atmosphere
656,The fried rice was dry as well.,0,Food Quality
657,Hands down my favorite Italian restaurant!,5,Overall Satisfaction
658,"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",6,Overall Satisfaction
659,It was just not a fun experience.,1,Overall Satisfaction
660,The atmosphere was great with a lovely duo of violinists playing songs we requested.,2,Ambience and Atmosphere
661,"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",8,Food Quality
662,"Very convenient, since we were staying at the MGM!",2,Ambience and Atmosphere
663,The owners are super friendly and the staff is courteous.,7,Service Experience
664,Both great!,1,Overall Satisfaction
665,Eclectic selection.,2,Ambience and Atmosphere
666,The sweet potato tots were good but the onion rings were perfection or as close as I have had.,0,Food Quality
667,The staff was very attentive.,7,Service Experience
668,And the chef was generous with his time (even came around twice so we can take pictures with him).,3,Service Experience
669,"The owner used to work at Nobu, so this place is really similar for half the price.",6,Value for Money
670,Google mediocre and I imagine Smashburger will pop up.,1,Overall Satisfaction
671,dont go here.,6,Overall Satisfaction
672,I promise they won't disappoint.,1,Overall Satisfaction
673,As a sushi lover avoid this place by all means.,8,Food Quality
674,What a great double cheeseburger!,8,Food Quality
675,Awesome service and food.,9,Overall Satisfaction
676,A fantastic neighborhood gem !!!,6,Overall Satisfaction
677,I can't wait to go back.,4,Overall Satisfaction
678,The plantains were the worst I've ever tasted.,0,Food Quality
679,It's a great place and I highly recommend it.,6,Overall Satisfaction
680,Service was slow and not attentive.,9,Service Experience
681,"I gave it 5 stars then, and I'm giving it 5 stars now.",1,Overall Satisfaction
682,Your staff spends more time talking to themselves than me.,7,Service Experience
683,Dessert: Panna Cotta was amazing.,0,Food Quality
684,"Very good food, great atmosphere.1",5,Ambience and Atmosphere
685,Damn good steak.,8,Food Quality
686,Total brunch fail.,3,Overall Satisfaction
687,"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.",8,Value for Money
688,"The decor is nice, and the piano music soundtrack is pleasant.",2,Ambience and Atmosphere
689,The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,0,Food Quality
690,"Good food , good service .",9,Overall Satisfaction
691,It was absolutely amazing.,1,Overall Satisfaction
692,"I probably won't be back, to be honest.",4,Overall Satisfaction
693,will definitely be back!,4,Overall Satisfaction
694,The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,8,Food Quality
695,"Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.",8,Food Quality
696,Went for lunch - service was slow.,3,Service Experience
697,"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.",6,Overall Satisfaction
698,I was mortified.,1,Overall Satisfaction
699,"Needless to say, we will never be back here again.",4,Overall Satisfaction
700,"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",3,Value for Money
701,"The chips that came out were dripping with grease, and mostly not edible.",0,Food Quality
702,I wasn't really impressed with Strip Steak.,0,Overall Satisfaction
703,Have been going since 2007 and every meal has been awesome!!,5,Overall Satisfaction
704,Our server was very nice and attentive as were the other serving staff.,9,Service Experience
705,The cashier was friendly and even brought the food out to me.,7,Service Experience
706,I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,6,Overall Satisfaction
707,The atmosphere here is fun.,2,Ambience and Atmosphere
708,Would not recommend to others.,1,Overall Satisfaction
709,"Service is quick and even ""to go"" orders are just like we like it!",9,Service Experience
710,"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",8,Food Quality
711,"That said, our mouths and bellies were still quite pleased.",0,Food Quality
712,Not my thing.,1,Overall Satisfaction
713,2 Thumbs Up!!,1,Overall Satisfaction
714,If you are reading this please don't go there.,6,Overall Satisfaction
715,"I loved the grilled pizza, reminded me of legit Italian pizza.",5,Food Quality
716,Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,5,Food Quality
717,They have a really nice atmosphere.,2,Ambience and Atmosphere
718,Tonight I had the Elk Filet special...and it sucked.,1,Food Quality
719,"After one bite, I was hooked.",1,Overall Satisfaction
720,We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,5,Food Quality
721,"Cute, quaint, simple, honest.",2,Ambience and Atmosphere
722,The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,0,Food Quality
723,"The food was great as always, compliments to the chef.",5,Food Quality
724,Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.,8,Service Experience
725,Awesome selection of beer.,2,Ambience and Atmosphere
726,Great food and awesome service!,5,Overall Satisfaction
727,"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",3,Service Experience
728,A FLY was in my apple juice.. A FLY!!!!!!!!,1,Food Quality
729,The Han Nan Chicken was also very tasty.,0,Food Quality
730,"As for the service, I thought it was good.",9,Service Experience
731,"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.",3,Food Quality
732,Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,6,Overall Satisfaction
733,Nicest Chinese restaurant I've been in a while.,5,Overall Satisfaction
734,"Overall, I like there food and the service.",5,Overall Satisfaction
735,They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,8,Food Quality
736,"Probably never coming back, and wouldn't recommend it.",4,Overall Satisfaction
737,"Friend's pasta -- also bad, he barely touched it.",1,Food Quality
738,"Try them in the airport to experience some tasty food and speedy, friendly service.",5,Overall Satisfaction
739,I love the decor with the Chinese calligraphy wall paper.,2,Ambience and Atmosphere
740,Never had anything to complain about here.,6,Overall Satisfaction
741,The restaurant is very clean and has a family restaurant feel to it.,5,Ambience and Atmosphere
742,It was way over fried.,0,Food Quality
743,I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,3,Service Experience
744,"When I opened the sandwich, I was impressed, but not in a good way.",0,Food Quality
745,Will not be back!,4,Overall Satisfaction
746,There was a warm feeling with the service and I felt like their guest for a special treat.,5,Service Experience
747,An extensive menu provides lots of options for breakfast.,8,Food Quality
748,"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",8,Food Quality
749,"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",9,Value for Money
750,Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,2,Ambience and Atmosphere
751,"I got to enjoy the seafood salad, with a fabulous vinegrette.",5,Food Quality
752,"The wontons were thin, not thick and chewy, almost melt in your mouth.",0,Food Quality
753,"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",0,Food Quality
754,We were sat right on time and our server from the get go was FANTASTIC!,3,Service Experience
755,"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",1,Ambience and Atmosphere
756,"When I'm on this side of town, this will definitely be a spot I'll hit up again!",6,Overall Satisfaction
757,I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,3,Service Experience
758,This is a GREAT place to eat!,5,Overall Satisfaction
759,The jalapeno bacon is soooo good.,8,Food Quality
760,The service was poor and thats being nice.,9,Service Experience
761,"Food was good, service was good, Prices were good.",9,Overall Satisfaction
762,The place was not clean and the food oh so stale!,0,Food Quality
763,"The chicken dishes are OK, the beef is like shoe leather.",8,Food Quality
764,But the service was beyond bad.,9,Service Experience
765,"I'm so happy to be here!!!""",6,Ambience and Atmosphere
766,Tasted like dirt.,0,Food Quality
767,One of the few places in Phoenix that I would definately go back to again .,4,Overall Satisfaction
768,The block was amazing.,1,Food Quality
769,"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",2,Value for Money
770,* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,0,Food Quality
771,My sashimi was poor quality being soggy and tasteless.,0,Food Quality
772,Great time - family dinner on a Sunday night.,5,Overall Satisfaction
773,"the food is not tasty at all, not to say its ""real traditional Hunan style"".",8,Food Quality
774,"What did bother me, was the slow service.",9,Service Experience
775,The flair bartenders are absolutely amazing!,5,Service Experience
776,Their frozen margaritas are WAY too sugary for my taste.,8,Food Quality
777,These were so good we ordered them twice.,1,Food Quality
778,So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,2,Ambience and Atmosphere
779,My girlfriend's veal was very bad.,1,Food Quality
780,"Unfortunately, it was not good.",1,Food Quality
781,I had a pretty satifying experience.,1,Overall Satisfaction
782,Join the club and get awesome offers via email.,6,Value for Money
783,"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",2,Food Quality
784,Bland and flavorless is a good way of describing the barely tepid meat.,0,Food Quality
785,"The chains, which I'm no fan of, beat this place easily.",6,Overall Satisfaction
786,The nachos are a MUST HAVE!,8,Food Quality
787,We will not be coming back.,4,Overall Satisfaction
788,"I don't have very many words to say about this place, but it does everything pretty well.",6,Overall Satisfaction
789,"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",7,Service Experience
790,"Great atmosphere, friendly and fast service.",2,Ambience and Atmosphere
791,When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,8,Food Quality
792,Once your food arrives it's meh.,8,Food Quality
793,Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,8,Value for Money
794,The classic Maine Lobster Roll was fantastic.,0,Food Quality
795,"My brother in law who works at the mall ate here same day, and guess what he was sick all night too.",3,Food Quality
796,So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,6,Overall Satisfaction
797,"The chips and salsa were really good, the salsa was very fresh.",0,Food Quality
798,This place is great!!!!!!!!!!!!!!,6,Overall Satisfaction
799,Mediocre food.,8,Food Quality
800,Once you get inside you'll be impressed with the place.,6,Ambience and Atmosphere
801,I'm super pissd.,1,Overall Satisfaction
802,And service was super friendly.,9,Service Experience
803,Why are these sad little vegetables so overcooked?,8,Food Quality
804,This place was such a nice surprise!,6,Overall Satisfaction
805,They were golden-crispy and delicious.,0,Food Quality
806,"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",8,Food Quality
807,I could eat their bruschetta all day it is devine.,8,Food Quality
808,Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,3,Service Experience
809,"Lastly, the mozzarella sticks, they were the best thing we ordered.",8,Food Quality
810,"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",6,Overall Satisfaction
811,The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,9,Service Experience
812,The service was terrible though.,9,Service Experience
813,"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",6,Value for Money
814,It was packed!!,1,Ambience and Atmosphere
815,I love this place.,6,Overall Satisfaction
816,I can say that the desserts were yummy.,0,Food Quality
817,The food was terrible.,0,Food Quality
818,The seasonal fruit was fresh white peach puree.,0,Food Quality
819,It kept getting worse and worse so now I'm officially done.,1,Overall Satisfaction
820,This place should honestly be blown up.,6,Overall Satisfaction
821,But I definitely would not eat here again.,8,Overall Satisfaction
822,Do not waste your money here!,6,Value for Money
823,I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,8,Food Quality
824,The crêpe was delicate and thin and moist.,0,Food Quality
825,Awful service.,9,Service Experience
826,Won't ever go here again.,4,Overall Satisfaction
827,Food quality has been horrible.,0,Food Quality
828,For that price I can think of a few place I would have much rather gone.,2,Value for Money
829,The service here is fair at best.,9,Service Experience
830,"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.",8,Service Experience
831,Do yourself a favor and stay away from this dish.,8,Overall Satisfaction
832,Very poor service.,9,Service Experience
833,No one at the table thought the food was above average or worth the wait that we had for it.,3,Overall Satisfaction
834,"Best service and food ever, Maria our server was so good and friendly she made our day.",9,Service Experience
835,They were excellent.,1,Overall Satisfaction
836,I paid the bill but did not tip because I felt the server did a terrible job.,9,Service Experience
837,Just had lunch here and had a great experience.,5,Overall Satisfaction
838,I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,0,Food Quality
839,Food is way overpriced and portions are fucking small.,8,Value for Money
840,I recently tried Caballero's and I have been back every week since!,6,Overall Satisfaction
841,"for 40 bucks a head, i really expect better food.",8,Value for Money
842,The food came out at a good pace.,3,Service Experience
843,"I ate there twice on my last visit, and especially enjoyed the salmon salad.",5,Food Quality
844,I won't be back.,4,Overall Satisfaction
845,We could not believe how dirty the oysters were!,0,Food Quality
846,This place deserves no stars.,6,Overall Satisfaction
847,I would not recommend this place.,6,Overall Satisfaction
848,"In fact I'm going to round up to 4 stars, just because she was so awesome.",1,Service Experience
849,"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.",0,Food Quality
850,"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!",7,Service Experience
851,the potatoes were great and so was the biscuit.,0,Food Quality
852,I probably would not go here again.,4,Overall Satisfaction
853,So flavorful and has just the perfect amount of heat.,8,Food Quality
854,The price is reasonable and the service is great.,9,Value for Money
855,"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",0,Food Quality
856,My fella got the huevos rancheros and they didn't look too appealing.,0,Food Quality
857,"Went in for happy hour, great list of wines.",5,Ambience and Atmosphere
858,Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,5,Value for Money
859,I probably won't be coming back here.,4,Overall Satisfaction
860,Worst food/service I've had in a while.,9,Overall Satisfaction
861,"This place is pretty good, nice little vibe in the restaurant.",5,Ambience and Atmosphere
862,Talk about great customer service of course we will be back.,9,Service Experience
